target,BART Greedy,BART Sampling,T5 Greedy,T5 Sampling
"We use graph co-attention in a paired graph training system for graph classification and regression. This article injects a multi-head co-attention mechanism in GCN that allows one drug to attend to another drug during drug side effect prediction. A method to extend graph-based learning with a co-attentional layer, which outperforms other previous ones on a pairwise graph classification task.","A novel neural network architecture for pairwise graph classification. This work introduces a new model for molecule prediction, Equation 5, which combines a graph neural network with a co-attentional layer. The study presents a novel graph-based model for molecular prediction that combines information from multiple graphs into a single prediction task. The authors present a novel algorithm for molecule-to-drug prediction based on a pairwise representation of two graphs.","This paper proposes a novel method for pair-wise representation learning, which uses a co-attentional layer to provide information about different substructures across a pair of graphs. The authors propose a new approach to pair-based representation learning in which a graph neural network receives pairs of pairs of molecules at once, and extends it with a coattentive layer that provides information about the substructure of each pair of molecules.","A graph neural network that receives pairs of graphs at once, and extends it with a co-attentional layer that allows node representations to easily exchange structural information across them. This work introduces a graph-level model for graph-structured representation learning which can be used to learn substructures from other inputs.","A graph neural network that receives pairs of graphs at a time, and extends it with a co-attentional layer that allows node representations to easily exchange structural information across them. This work introduces a new model for graph-level representation learning, which can be used to learn substructures from other inputs. The authors present a pairwise graph classification task in which the two representations of each other are represented by atoms."
Devising unsupervised defense mechanisms against adversarial attacks is crucial to ensure the generalizability of the defense. This work presents a method for detecting adversarial examples in a deep learning classification setting This study presents an unsupervised method for detecting adversarial examples of neural networks.,An automated end-to-end framework for unsupervised model assurance and defending against adversarial samples. This work presents a novel approach to unsupervising data abstractions by using parallel checkpointing modules in each intermediate DL layer. The authors present a method for training adversarial models in which the defender module is trained to detect non-overlapping data points within each class of data.,An automated end-to-end framework for unsupervised model assurance and defending against adversarial samples. This paper proposes a novel approach to counter-encrypting data abstractions by using parallel checkpointing modules in each intermediate DL layer to validate the validity of the data abstracts. The authors propose a method for counter-counter-attacking adversarial attacks that is more robust than traditional checkpointing methods.,"This article introduces a new framework for unsupervised model assurance as well as defending against the adversaries. The work presents a novel approach to attack on defender modules by incorporating a loss function with a cross entropy loss, which is used to improve the security of data abstractions in an end-to-end way.","This study introduces an end-to-end framework for unsupervised model assurance as well as defending against the adversaries. The authors present a novel attack approach to verify the legitimacy of data abstractions in each DL layer, and show that parallel checkpointing modules can be used to improve the performance of the victim model. This work presents a method for training defender modules to checkpoint the data representations of data points within the rarely explored regions of the data points."
"We show how using skip connections can make speech enhancement models more interpretable, as it makes them use similar mechanisms that have been explored in the DSP literature. The authors propose incorporating Residual, Highway and Masking blocks inside a fully convolutional pipeline in order to understand how iterative inference of the output and the masking is performed in a speech enhancement task The authors interpret highway, residual and masking connections. The authors generate their own noisy speech by artificially adding noise from a well established noise data-set to a less know clean speech data-set.","A new method for learning the spectral domain of a deep neural network for speech enhancement. This article introduces skip connections in deep neural networks, and shows that they can improve the performance of models trained for speech denoising. The authors introduce skip connections, which are based on predicting time-frequency cells dominated by noise, and show that skipping connections can help to improve speech structure.","The authors propose a new approach to speech enhancement by using skip connections instead of autoencoder. This paper proposes a new method for learning from skip connections in deep neural networks, and shows that skip connections can be used to improve the performance of models trained for speech denoising. This article proposes a novel method for improving the accuracy of speech prediction models based on skip connections. The authors propose an approach to learning from skipping connections, which is based on predicting time-frequency cells dominated by noise and filtering them out. This work proposes a method to learn from skipped connections in order to improve speech prediction.","This work presents a study of the role of residual and highway connections in deep neural networks for speech enhancement, and shows that skip connections do not necessarily improve performance with regards to the number of parameters, but they make speech enhancement models more interpretable. Presents a novel method for visualizing time-frequency cells by using a skip connection instead of subtraction, which uses a multiplicative mask M to predict the magnitude spectrum of the distortion and filter it out.","This paper presents a new model for speech enhancement using skip connections, which performs operations between the input and the output of each block. The authors show that skip connections do not necessarily improve performance with regards to the number of parameters, but they also make speech enhancement models more interpretable. This study studies the role of residual and highway connections in neural networks for speech denoising"
We propose the Exemplar Guided & Semantically Consistent Image-to-image Translation (EGSC-IT) network which conditions the translation process on an exemplar image in the target domain. Discusses a core failing and need for I2I translation models. The article explores the idea that an image has two components and applies an attention model where the feature masks that steer the translation process do not require semantic labels,"A new translation method for image generation that combines multimodal and domain-specific style information. This article introduces a new translation technique, EGSC-IT, which combines the two existing methods of combining style information and domain specific style information in a shared latent space. The authors introduce a new approach to image translation by combining the style information of two different domains into a single representation.","Egsc-IT is a novel translation method that combines two latent space constraints to facilitate multimodal image translation. This paper proposes a new translation architecture based on a shared latent space constraint, which allows us to transfer the style information of the target domain to the source domain. The authors propose an approach to translate images from one domain to another domain by combining two latent spaces between the two domains in order to improve translation performance.","An adaptive instance normalization approach for multimodal image translations. This work introduces a new latent space constraint which assumes that a pair of corresponding images (x A, x B) from domains A and B can be mapped to the same representation z in a shared-latent space. This paper presents a method for translating images into images of different styles within the target domain.",This paper introduces a method to translate images from different styles in the target domain into images of different styles. The authors present an approach to translating images from a latent space to a single image in the source domain using Adaptive Instance Normalization (AdaIN) and a shared-latent space constraint that can be applied to the translation process.
A simple architecture consisting of convolutions and attention achieves results on par with the best documented recurrent models. A fast high performance paraphrasing based data augmentation method and a non-recurrent reading comprehension model using only convolutions and attention. This paper proposes applying CNNs+self-attention modules instead of LSTMs and enhancing the RC model training with passage paraphrases generated by a neural paraphrasing model in order to improve RC performance. This work presents a reading comprehension model using convolutions and attention and propose to augment additional training data by paraphrasing based on off-the-shelf neural machine translation,"A novel reading comprehension model that consists of only convolutional and self-attention, a combination that is empirically effective for both training and inference. This study presents a novel reading recognition model for the reading comprehension problem, which consists of two layers: a neural network embedding layer, and a context-query attention layer.","A novel reading comprehension model that consists of only convolutional and self-attention mechanisms, which is empirically effective for both training and inference. This paper proposes a novel reading recognition model based on the QANet algorithm. The authors propose a novel approach to reading comprehension problems by combining convolutions and self attention in order to improve the accuracy of the model.","A new feedforward model for reading comprehension that consists of only convolutional and self-attention, discarding RNNs. This article introduces a new approach to the problem of reading comprehension by using a data augmentation technique to improve the training performance of SQUAD datasets. The authors present a method for learning a novel reading comprehension model with a low level structure and a combination of self attention and context-query attention.","A feedforward model that consists of only convolutional and self-attention, discarding RNNs, which are used by most of the existing models. This work introduces a backtranslation model for reading comprehension with a combination of self attention and embedding layers to improve the performance of the training data. The authors present a new approach to the problem of refining an RNN model by using a non-convolutional neural network"
"We learn dense scores and dynamics model as priors from exploration data and use them to induce a good policy in new tasks in zero-shot condition. This paper discusses zero shot generalization into new environments, and proposes an approach with results on Grid-World, Super Mario Bros, and 3D Robotics. A method aiming to learn task-agnostic priors for zero-shot generalization, with the idea to employ a modeling approach on top of the model-based RL framework.","A novel reinforcement learning algorithm that learns to select trajectories for a task in a grid-world environment. This work introduces a new model for reinforcement learning that learns the best trajectory for a given task in an environment. The study presents a method for training a reinforcement learning agent to select different trajectories from a set of parameters, and shows that it outperforms other approaches.","A reinforcement learning agent that learns to move to the left in order to learn a new trajectory for a task. This paper proposes a method to train an intelligent agent on a wide range of tasks, including grid-world, robotics, and video games. The authors propose a novel approach to solving the problem of choosing the best trajectories for a given task by using a model based on curiosity driven reward.","A method that outperforms baseline methods on gridworld, robotics tasks and video games. The study presents a method for learning dynamic priors in a grid-world environment using the model's scoring function and the dynamics model to find the best trajectory for a task T.","A method that learns to move to the right in the upper level of Figure 1 would fail to transfer the priors to the lower level and further play the game in the new level because change of configurations and background. This work presents a method for learning a trajectory from a grid-world example to a robotics Blocked-Reach environment, which can outperform baseline methods on a wide range of applications including gridworld."
An autoregressive deep learning model for generating diverse point clouds. An approach for generating 3D shapes as point clouds which considers the lexicographic ordering of points according to coordinates and trains a model to predict points in order. The paper introduces a generative model for point clouds using a pixel RNN-like auto-regressive model and an attention model to handle longer-range interactions.,"Conditional PointGrow, a generative model for 3D point cloud generation, learns a smooth manifold of given images where 3D shape interpolation and arithmetic calculation can be performed inside. This work introduces a self-attention module to generate point clouds that can be used to generate 3D objects.","A self-attention module that captures the dependencies between points, helping to generate plausible part configurations within 3D objects. This paper proposes a method for generating point cloud samples from scratch using conditional PointGrow. The authors propose an unsupervised feature learning framework based on conditional distribution between points in order to capture the dependencies of each point.","A self-attention module that captures the long-range dependencies between points, helping to generate plausible part configurations within 3D objects. This article introduces a self attention model for point clouds that can be used in conjunction with a non-context model. The authors present a Self-attention model for image generation using conditional PointGrow, which provides an auto-attention mechanism for generating representations of distances and convolutional coordinates.","A self-attention module that captures the long-range dependencies between points, helping to generate plausible part configurations within 3D objects. This work introduces a self attention module for modeling point clouds, which can be used in conjunction with an unconditional model. The authors present a Self-attention framework for generating representations of point clouds by using a discrete coordinate and a convolutional layer layer to create a coherent representation of the point cloud."
"Degenerate manifolds arising from the non-identifiability of the model slow down learning in deep networks; skip connections help by breaking degeneracies. The authors show that elimination singularities and overlap singularities impede learning in deep neural networks, and demonstrate that skip connections can reduce the prevalence of these singularities, speeding up learning. Paper examines the use of skip connections in deep networks as a way of alleviating singularities in the Hessian matrix during training.","Overlap singularities are caused by the permutation symmetry of the hidden units at a given layer and they arise when two units become identical, e.g. when their incoming weights become identical to each other. This study introduces skip connections between adjacent layers of nonlinear linear residual networks, and shows that skip connections can be explained by stochastic gradient descent and random initialization.","Overlap singularities are caused by the permutation symmetry of the hidden units at a given layer and they arise when two units become identical, e.g. when their incoming weights become identical ( FIG1 ). This study proposes a new architecture for nonlinear linear residual networks that introduces skip connections between adjacent layers to solve the vanishing gradients problem.","This article introduces a novel residual architecture that introduces identity skip connections between adjacent layers and all layers above it. This study investigates the elimination, overlap and linear dependence singularities of a neural network by applying a malicious initialization scheme for the residual architecture to improve performance. The authors present a framework for avoiding overlap singularities in neural networks by adding the identity matrix from the initial weight matrices of the hidden units in the same layer.","This work introduces a hyper-residual architecture that introduces identity skip connections between adjacent layers and all layers above it. This study investigates the elimination, overlap and linear dependence singularities of the hidden units in the same layer, and how they can be used to improve the training accuracy. The authors present a nonlinearity network with no skip connections, and show that there is a direct correlation between elimination and linear dependency singularities."
"We formulated SGD as a Bayesian filtering problem, and show that this gives rise to RMSprop, Adam, AdamW, NAG and other features of state-of-the-art adaptive methods The paper analyzes stochastic gradient descent through Bayesian filtering as a framework for analyzing adaptive methods. The authors attempt to unify existing adaptive gradient methods under the Bayesian filtering framework with the dynamical prior",An approximate inference between adaptive SGD algorithms and natural gradient variational inference. This article presents a method to approximate gradient updates in neural networks using Bayesian (Kalman) filtering. The authors provide a method for approximating gradients in deep neural networks by incorporating momentum and momentum into the updates. This work presents a new way to approximate gradients of neural networks with Bayesian filtering,"A theoretical analysis of adaptive SGD algorithms with Bayesian filtering. The article proposes a method for learning natural gradient variational inference, which is based on Bayesian interpolation. This paper presents an approach to learning natural gradients in neural networks using Bayesian and Bayesian filters. The authors propose a method to learn natural gradient Variational Inference (VI), where the update depends only on the current value of the backpropagated gradients, and the covariance between momentum and momentum.","An adaptive algorithm for neural network optimization that combines natural gradient variational inference and Bayesian filtering. This work introduces a novel method to connect adaptive SGD algorithms to natural gradient VI updates, which is based on the current value of the parameter, and the root-mean-square normalizer BID14.",An adaptive algorithm for neural network optimization that uses Bayesian filtering to optimize parameters of BID23 BID30 BID24 BID25 BID7 BID22. This work introduces a novel method for optimizing neural networks by combining the state-of-the-art adaptive SGD algorithms with bayesian filters and natural gradient variational inference.
"We show that, in continual learning settings, catastrophic forgetting can be avoided by applying off-policy RL to a mixture of new and replay experience, with a behavioral cloning loss. Proposes a particular variant of experience replay with behavior cloning as a method for continual learning.","Continuous learning is a method for reducing catastrophic forgetting in continuous learning. This work presents a new approach to the problem of catastrophic forgetting that combines continuous learning with sequential learning. The authors present a novel method for preventing catastrophic forgetting, called continuous learning, in which a single learning network is fed experiences from different points in the training sequence. This study presents a novel way to reduce catastrophic forgetting on continuous learning tasks.","Continuous Learning (CLEAR) is a method for reducing catastrophic forgetting in DMLab. This paper proposes a new approach to continuous learning, which combines replay buffers with reinforcement learning to reduce catastrophic forgetting. The authors propose a novel approach to continual learning by combining replay buffers and reinforcement learning, focusing on the problem of catastrophic forgetting between different tasks.","A continual learning system that learns from a variety of different learning networks. This article introduces a novel method for reducing catastrophic forgetting in sequential training, where performance on a task decays immediately when training switches to another task. The authors consider the problem of continuous learning by combining 50-50 new-replay and combining significant reductions in catastrophic forgetting for all tasks.","A continuul learning system that learns new skills that are related to old ones faster than it would have de novo, a property known as constructive interference or positive transfer. This study presents a novel method for reducing catastrophic forgetting on sequential training tasks, and introduces a new strategy to reduce the catastrophic forgett. The authors address the problem of continual learning by using experience replay buffers to minimize the impact of rare experiences in RL."
"Our variational-recurrent imputation network (V-RIN) takes into account the correlated features, temporal dynamics, and further utilizes the uncertainty to alleviate the risk of biased missing values estimates. A missing data imputation network to incorporate correlation, temporal relationships, and data uncertainty for the problem of data sparsity in EHRs, which yields higher AUC on mortality rate classification tasks. The paper presented a method that combines VAE and uncertainty aware GRU for sequential missing data imputation and outcome prediction.","A deep generative model to estimate the missing values based on features correlations and temporal relations in the latent space of a GRU cell. This work presents a novel method for estimating missing values in an in-hospital mortality prediction framework. This study presents a deep generational model for estimating the missing value estimates based on the features correlations, temporal relations, and the uncertainty.","A deep generative model to estimate the missing values based on features correlations and temporal dynamics. This work proposes a novel method for estimating missing values of in-hospital mortality prediction using a recurrent imputation network. The authors propose an approach to estimate missing values by utilizing a generative framework combined with a recurrent neural network to extract the temporal dynamics from the latent space, yielding the uncertainty.",A deep generative model to estimate the missing values using a recurrent imputation network to exploit the temporal dynamics in conjunction with the utilization of the uncertainty. This work introduces a new method for estimating the latent representation by using VAEs and generating the uncertainty decay factor in the Eq. The authors present a method for improving the prediction performance of the data by leveraging the reconstructed data as the fidelity score.,"A deep generative model to estimate the missing values and the uncertainty in the latent space, yielding the uncertainty decay factor. This work introduces a new method for estimating the uncertain information by using a recurrent imputation network as a secondary problem but major concern in the task performance. The authors use a deep-generative model combined with a robust generative network to extract the uncertainty of the uncertainty and the temporal dynamics together."
"In a deep convolutional neural network trained with sufficient level of data augmentation, optimized by SGD, explicit regularizers (weight decay and dropout) might not provide any additional generalization improvement. This work proposes data augmentation as an alternative to commonly used regularisation techniques, and shows that for a few reference models/tasks that the same generalization performance can be achived using only data augmentation. This paper presents a systematic study of data augmentation in image classification with deep neural networks, suggesting that data augmentation can replicit some common regularizers like weight decay and dropout.","A systematic analysis of the impact of data augmentation on deep neural networks compared to popular techniques of explicit regularization. This article presents a systematic study of the role of deep neural network regularization in improving the generalization of the training data. The authors present a systematic review of the effect of deep learning on the training performance of neural networks, focusing on the use of implicit regularization as a substitute for explicit regularized methods.","A systematic analysis of the impact of data augmentation on deep neural networks compared to popular regularization techniques. This article presents a systematic analysis and empirical study of the role of data augmenting in deep neural network for object recognition, focusing on the use of both explicit regularization and implicit regularization. The article proposes a systematic approach to improving the performance of deep neural models by using data augments.",A systematic analysis of the impact of data augmentation on deep neural networks with and without explicit regularization. The authors present a systematic analysis to analyze how data hausse adapts to different architectures of deep neural network architectures. This work presents a method for analyzing the role of information augmentation in deep neural models by using two different augmentation schemes as well as comparing them to the most popular regularization techniques.,"A systematic analysis of the impact of data augmentation on deep neural networks compared to the most popular regularization techniques. This work presents a method for analyzing the role of explicit regularization in deep neural network architectures. The authors present an analysis of how data hausse adapts to different architectures of different depths of the network, and show that it can be used as a substitute for explicitly regularization."
"LEAP combines the strength of adaptive sampling with that of mini-batch online learning and adaptive representation learning to formulate a representative self-paced strategy in an end-to-end DNN training protocol. Introduces a method for creating mini batches for a student network by using a second learned representation space to dynamically select examples by their 'easiness and true diverseness'. Experiments the classification accuracy on MNIST, FashionMNIST, and CIFAR-10 datasets to learn a representation with curriculum learning style minibatch selection in an end-to-end framework.","A self-paced sample selection framework that learns a dynamic representation space for the training data and learns when to introduce certain samples to the DNN during training. This work introduces a new dataset selection framework called Learning Embeddings for Adap- tive Pace (LEAP) that is independent of model architecture or objective, and learns which samples to introduce during training in order to improve performance on classification tasks.","Learning Embeddings for Adap- tive Pace (LEAP) that is independent of model architecture or objective, and learns when to introduce certain samples to the DNN during training. The authors propose a self-paced approach to learning a representation space based on easiness and true diverseness as sample importance priors in order to achieve better clustering performance.","A framework for self-paced learning with Adaptive Pace that learns when to introduce certain samples to a DNN during training. This work presents a framework for learning a representation space for the student CNN, which can be used to train a classifier and a classification task. The authors present a model for learning examples in a mini-batch setting using easiness and true diverseness as sample importance priors.","A framework for self-paced learning with Adaptive Pace that learns when to introduce certain samples to the DNN during training. This work presents a framework for learning sample selection in a mini-batch setting using easiness and true diverseness as sample importance priors. The authors present a method for learning representations from multiple clusters of clusters, including CNNs and CNNs."
"We introduce an embedding space approach to constrain neural network output probability distribution. This work introduces a method to perform semi-supervised learning with deep neural networks, and the model achieves relatively high accuracy, given a small training size. This study incorporates label distribution into model learning when a limited number of training instances is available, and proposes two techniques for handling the problem of output label distribution being wrongly biased.","A novel semi-supervised learning algorithm that jointly optimizes output probability distribution on a clustered embedding space to make neural networks draw effective decision boundaries. This work introduces a new method for training deep neural networks with low dimensional feature space, where labels can be trained to draw decision boundaries correctly from a limited number of examples. The study presents a new approach to train deep neural network models with high dimensional feature spaces.","A method for jointly optimizing output probability distribution on a clustered embedding space to make neural networks draw effective decision boundaries. This paper proposes to jointly train neural networks with a clustering of labels in the hidden layer of a neural network, and propose to jointly learn the decision boundaries of the classifier. The work proposes a new algorithm that jointly optimizes output probability distributions on a sparsely labelled data set by using autoencoder and batch probability distribution.","A novel algorithm that jointly optimizes output probability distribution on a clustered embedding space to make neural networks draw effective decision boundaries. This work presents a novel algorithm for learning decision boundaries on multilayer perceptron (MLP) with limited labelled examples, which can be used to train neural networks to learn the decision boundary correctly from a limited number of examples.",A novel algorithm that jointly optimizes output probability distribution on a clustered embedding space to make neural networks draw effective decision boundaries. This work presents a novel algorithm for learning the decision boundary of a multilayer perceptron (MLP) classifier with limited examples. The authors investigate the problem of learning the choice boundary from a limited number of labels in a hidden layer of an MLP trained with 50 labelled MNIST data.
A comparison of five deep neural network architectures for detection of malicious domain names shows surprisingly little difference. Authors propose using five deep architectures for the cybersecurity task of domain generation algorithm detection. Applies several NN architectures to classify url's between begign and malware related URLs. This paper proposes to automatically recognize domain names as malicious or benign by deep networks trained to directly classify the character sequence as such.,"A new deep neural network classifier that can detect domain names as benign or malicious based solely on the domain name string. This study presents a new deep learning framework for detecting domain names that are not explicitly told to be labeled as malicious. The authors present an end-to-end approach to detecting domain name strings in a deep learning context, focusing on the problem of identifying malicious domain names and proposing an endgame model.","An end-to-end deep neural network architecture that can detect domain names as benign or malicious based solely on the domain name string. The authors propose a new approach to DGA detection based on a recurrent neural network model, which consists of an embedding layer and a convolutional layer. This paper proposes a novel framework for DGA classification based on the presence of a random string of domain names in the network.","A deep recurrent neural network that can detect DGAs without the need to reverse engineer malware families. This article introduces a long-term model for DGA detection, which uses an endgame embedding layer of convolutional neural networks (GRUs) to improve model performance and overcome overfitting by randomly excluding nodes during training.","A deep neural network architecture that can detect DGAs without the need to reverse engineer new, emerging malware families. This work introduces a deep-recurrent neural network classifier for DGA detection which uses an embedding layer to detect malicious and benign domain names in order to avoid overfitting. The authors present a long-term recurrent model of LSTMs that uses a bidirectional GRU algorithm to improve model performance."
A novel approach to maintain orthogonal recurrent weight matrices in a RNN. Introduces a scheme for learning the recurrent parameter matrix in a neural network that uses the Cayley transform and a scaling weight matrix. This study suggests an RNN reparametrization of the recurrent weights with a skew-symmetric matrix using Cayley transform to keep the recurrent weight matrix orthogonal. Novel parametrization of RNNs allows representing orthogonal weight matrices relatively easily.,"A new deep learning architecture for orthogonal and unitary RNNs. This article introduces a deep learning framework for deep learning that is able to solve the vanishing/exploding gradient problem in deep neural networks. The authors introduce a new algorithm for learning deep learning, called scoRNN, which can be used to train deep learning neural networks with low memory usage. This work introduces a new architecture of deep learning based on the Cayley transform","An orthogonal and unitary deep neural network architecture that performs better than the full-capacity uRNNs. This paper proposes a deep learning architecture for deep neural networks where the recurrent matrix is replaced by a diagonal matrix consisting of ones and negative ones. The authors propose an approach to deep learning with deep learning based on deep learning, using deep learning as the main objective.","A new activation function for orthogonal or unitary recurrents, and the full-capacity uRNN from Section 2.2. This article introduces a new activations function for scoRNN that is more efficient than other activation functions. The authors study the problem of scaling a skew-symmetric matrix with gradient descent, and show that the modReLU has improved the performance of the model.","A new activation function for orthogonal or unitary recurrent neural networks. This work introduces a method to improve the performance of the modReLU over other activation functions, such as ReLU. The authors study the problem of scaling the recurrence matrix by scaling the diagonal matrix by a negative one eigenvalue and using a gradient descent algorithm to reduce the complexity of the gradient descent steps."
"Empirical proof of a new phenomenon requires new theoretical insights and is relevent to the active discussions in the literature on SGD and understanding generalization. The paper discusses a phenomenon where neural network training in very specific settings can profit much from a schedule including large learning rates The authors analyze training of residual networks using large cyclic learning rates, and demonstrate fast convergence with cyclic learning rates and evidence of large learning rates acting as regularization.","A new adaptive learning rate method for SGD that can speed up training by an order of magnitude. This article studies the problem of super-convergence in SGD using a cyclical learning rate, and shows that using large learning rates is beneficial for training SGD with very large data sets. This work investigates the issue of hyper-parameterized learning rates in deep learning, and suggests that using very large learning rate methods can help train SGD efficiently.","Super-convergence is a phenomenon that occurs when large learning rates are used to speed up training. The authors propose a new adaptive learning rate method for SGD where the learning rate is relatively small compared to standard learning rates. This paper proposes a new method for improving SGD by using very large learning rate, and shows that it is possible to train SGD with super-conversation.","A super-convergent approach for training with very large learning rates, which adds noise in the middle part of training. This work presents a method to improve SGD performance when the amount of labeled training data is limited and shows that using CLR with very small learning rates can speed up training by an order of magnitude. The authors present a new algorithm for learning rate optimization that uses a Hessian-free optimization method to estimate optimal learning rates.","A super-convergent approach for training with very large learning rates, which adds noise in the middle part of training. The authors show that using CLR with very small learning rates can speed up training by an order of magnitude. This work presents a new method to improve the generalization performance of SGD by reducing the noise level and improving the performance of the training rate."
"A Bayesian Nonparametric Topic Model with Variational Auto-Encoders which achieves the state-of-the-arts on public benchmarks in terms of perplexity, topic coherence and retrieval tasks. This article constructs an infinite Topic Model with Variational Auto-Encoders by combining Nalisnick & Smith's stick-breaking variational auto-encoder with latent Dirichlet allocation and several inference techniques used in Miao.","A Bayesian nonparametric topic model with variational auto-Encoders for a countably infinite set of topics. This work introduces a new class of topic models that can be used to approximate the variational posterior of a given dataset. The authors introduce a new type of topic model, called iTM-VAE-Prod, which is an infinite number of topics and can be approximated using variational inference.","A Bayesian nonparametric topic model with variational auto-Encoders that can approximate a wide range of topics. This paper proposes an infinite topic model based on variational Auto-encoders, which has potentially infinite number of topics and allows the inference to grow as more documents are observed. The authors propose an infinite Topic Model with Variational Auto Encoders (iTM-VAE), which is a Bayesian semi-autometric topic models equipped with Variable Auto-Encoders.","A Bayesian nonparametric topic model equipped with a Variational Auto-Encoders (ITM-VAE), which uses a stick-breaking process BID35 to generate the mixture weights for a countably infinite set of topics. This work introduces an infinite Topic Model that can be approximated using either MCMC sampling or variational inference.","A Bayesian nonparametric topic model equipped with a Variational Auto-Encoders (ITM-VAE). This work introduces an infinite Topic Model, which uses a stick-breaking process BID35 to generate the mixture weights for a countably infinite set of topics and can grow the number of parameters with the amount of training data."
"Finetuning after quantization matches or exceeds full-precision state-of-the-art networks at both 8- and 4-bit quantization. This paper proposes to improve the performance of low-precision models by doing quantization on pre-trained models, using large batches size, and using proper learning rate annealing with longer training time. A method for low bit quantization to enable inference on efficient hardware that achieves full accuracy on ResNet50 with 4-bit weights and activations, based on observations that fine-tuning at low precision introduces noise in the gradient.","A new quantization technique for training low-precision neural networks with integer constraints. This article introduces a method to reduce the gradient noise in deep neural networks by quantizing the weights and activations of the weights. The study presents a method for training neural networks at 8-bit precision, which outperforms the current state-of-the-art methods.","A new method for training low-precision neural networks that outperforms the current state-of-the-art models. This paper proposes a method to train low precision neural networks by quantizing the weights and activations of the weights in order to combat gradient noise. The authors propose a method for improving the accuracy of high precision neural nets on Imagenet benchmark, and show that this method outperforms all other methods.",A new state-of-the-art quantization method for fine-tuning low-precision networks with 8-bit precision exceeds the accuracy of fp32 baseline networks after one epoch of fine tuning. This work presents a method to improve the accuracy and efficiency of high-resolution deep network architectures by leveraging the availability of pretrained models.,A new state-of-the-art method for training low-precision networks with integer constraints. Presents a new state of the art method to combat gradient noise introduced by weight quantization. This work presents a novel method for learning low precision networks that exceeds the accuracy of the full-presence baseline networks after just one epoch of fine-tuning.
"Translating portions of the input during training can improve cross-lingual performance. The study proposes a cross-lingual data augmentation method to improve the language inference and question answering tasks. This paper proposes to augment crosslingual data with heuristic swaps using aligned translations, like bilingual humans do in code-switching.","XNLI data augmentation is a method that replaces a segment of the input text with its translation in another language. This article introduces a new neural machine translation method for cross-lingual word embeddings that uses XNLI, a dataset of 15 different languages. The authors introduce a new method for translating text from one language to another, and show that it can be used with both pretrained and randomly initialized models.","A new method for generating cross-lingual word embeddings in a wide range of languages. This article introduces a new neural machine translation method that replaces a segment of the input text with its translation in another language. The authors introduce a new method to generate cross-language word embedding in a variety of languages, including English, French, German, and Spanish.","A cross-lingual data augmentation method that replaces a segment of the input text with its translation in another language. This work presents a method for generating word embeddings in multiple languages by using a combination of unsupervised and random initialized models. The authors present a new algorithm for combining examples in a single sentence pair and a multi-lingual dataset, which can be used to improve translation performance over a prerained model.","A cross-lingual data augmentation method that replaces a segment of the input text with its translation in a way that each example is solely in one language. The authors introduce a new algorithm for multilingual word embeddings, which can be used to train examples in multiple languages without having to explicitly further align them. This study studies the effectiveness of cross-linguistic neural networks as cross-language augmentors"
new GNN formalism + extensive experiments; showing differences between GGNN/GCN/GAT are smaller than thought The work proposes a new Graph Neural Network architecture that uses Feature-wise Linear Modulation to condition the source-to-target node message-passing based on the target node representation.,"GNN-FiLM outperforms baseline methods on a regression task on molecular graphs and performs competitively on other tasks. This article presents a novel convolutional neural network architecture for molecular graphs that uses graph edges instead of linear layers. The study presents a new Convolutional Neural Network architecture for the molecular graphs, which is based on graph edges and shows that it is more efficient than existing convolutionals.","GNN-FiLM outperforms baseline methods on a regression task on molecular graphs and performs competitively on other tasks. This paper proposes a novel Convolutional Neural Networks (RGDCN) that replaces the learnable message transformation function with a graph activation function. The authors propose a new convolutional neural network for molecular graphs, which uses graph activation functions to replace the learningable message transform function.",Graph Dynamic Convolutional Networks (RGDCN) is a GNN-FiLM model that learns to ignore graph edges based on the representation of target and source nodes. This work presents a new framework for learning to ignore message transformations in a graph domain by using a learnable function f that operates on the edge-type-dependent weights of each edge.,A GNN-FiLM model for molecular graphs that outperforms baseline methods on a regression task and performs competitively on other tasks. This work introduces a new approach for learning to ignore graph edges by replacing the learnable parameters of the model with an edge-type-dependent weight based on the message transformation of target nodes.
